Year, Quarter,INDI 25,GDP,CPI,Prime Rate,USD/ZAR,ERV
1996,q1,7678.17,7.6,6.2,18.5,3.96,0.178978583
1996,q2,7752.32,4.9,5.8,20.5,4.33,0.2136196
1996,q3,7833.27,4.9,7.4,19,4.52,0.109696551
1996,q4,7539.08,3.8,9.1,20.25,4.68,0.092376043
1997,q1,7937.4,1.9,9.9,20.25,4.42,0.15011107
1997,q2,8344.33,2.5,9.5,20.25,4.52,0.057735027
1997,q3,7986.09,0.4,8.7,20.25,4.67,0.08660254
1997,q4,6703.71,0.1,6.9,19,4.87,0.115470054
1998,q1,7751.18,1.1,5.3,19,5.04,0.098149546
1998,q2,6796.3,0.6,5.1,20,5.89,0.490747729
1998,q3,5283.33,0.9,7.6,25.5,5.89,0
1998,q4,5805.4,0.4,9.3,23.5,5.86,0.017320508
1999,q1,6785.05,3.9,8.6,21,6.2,0.196299092
1999,q2,7052.78,3.2,7,19,6.03,0.098149546
1999,q3,6529.49,4.4,3.3,16.5,5.98,0.028867513
1999,q4,9096.45,4.5,1.9,15.5,6.15,0.098149546
2000,q1,9169.29,4.8,2.3,14.5,6.58,0.248260616
2000,q2,8676.48,3.7,5.1,14.5,6.82,0.138564065
2000,q3,9173.94,4,6.9,14.5,7.28,0.265581124
2000,q4,8167.9,3.4,7,14.5,7.57,0.167431578
2001,q1,6851.42,2.5,7.8,14.5,8.02,0.259807621
2001,q2,7568.78,2,6.4,14.5,8.07,0.028867513
2001,q3,6012.8,1.1,4.6,13.5,8.94,0.502294734
2001,q4,7199.4,3.1,4.3,13,12.09,1.818653348
2002,q1,7287.7,4.4,5.9,14,11.4,0.398371686
2002,q2,7178.15,5.2,7.8,15,10.38,0.588897275
2002,q3,5825.34,4.6,10.4,16,10.57,0.109696551
2002,q4,5910.45,3.4,12.9,17,8.66,1.102739014
2003,q1,4619.48,2.6,10.3,17,7.95,0.409918691
2003,q2,5204.6,2,7.8,17,7.39,0.323316151
2003,q3,5696.26,2.2,5.1,14.5,7,0.225166605
2003,q4,6783.8,2.3,0.4,12,6.65,0.202072594
2004,q1,7302.85,6.2,0.7,11.5,6.34,0.178978583
2004,q2,7332.22,5.7,0.6,11.5,6.27,0.040414519
2004,q3,8088.21,6.7,1,11,6.44,0.098149546
2004,q4,9802.64,4.3,3.7,11,5.64,0.461880215
2005,q1,9762.3,4.1,2.6,11,6.24,0.346410162
2005,q2,10383.33,7.4,3.3,10.5,6.67,0.248260616
2005,q3,12342.54,5.6,4,10.5,6.37,0.173205081
2005,q4,12939.35,2.7,3.4,10.5,6.32,0.028867513
2006,q1,14353.23,6.2,3.9,10.5,6.19,0.075055535
2006,q2,13544.34,6.7,3.9,10.5,7.14,0.548482756
2006,q3,15079.02,5.8,5.4,11.5,7.7,0.323316151
2006,q4,17825.64,6.4,5.4,12,6.97,0.421465697
2007,q1,18754.18,6.5,5.8,12.5,7.27,0.173205081
2007,q2,19521.76,3.1,6.9,12.5,7.1,0.098149546
2007,q3,20204.63,5,6.7,13.5,6.88,0.127017059
2007,q4,20565.98,6,2.7,14,6.79,0.051961524
2008,q1,19440.37,3,10.8,14.5,8.12,0.767875858
2008,q2,19126.5,4.4,10.2,15,7.88,0.138564065
2008,q3,17393.16,1.8,11.3,15.5,8.32,0.254034118
2008,q4,16926.94,-1.7,10.1,15.5,9.89,0.906439923
2009,q1,15195.66,-6.3,8.7,14,9.94,0.028867513
2009,q2,17229.51,-2.7,8,11,8.03,1.102739014
2009,q3,19798.57,1.7,6.4,10.5,7.49,0.311769145
2009,q4,21617.21,3.5,5.8,10.5,7.47,0.011547005
2010,q1,22329.99,4.6,5.7,10.5,7.4,0.040414519
2010,q2,21109.88,3,4.6,10,7.62,0.127017059
2010,q3,25010.11,2.7,3.5,10,7.11,0.294448637
2010,q4,26792.62,4.5,3.6,9,6.8,0.178978583
2011,q1,26716.02,5.1,3.7,9,6.9,0.057735027
2011,q2,27749.4,2,4.6,9,6.79,0.06350853
2011,q3,26477.67,1.8,5.3,9,7.55,0.438786205
2011,q4,28759.64,3.8,6.1,9,8.2,0.375277675
2012,q1,31474.03,2.4,6.1,9,7.6,0.346410162
2012,q2,32415.27,2.6,5.7,9,8.39,0.456106713
2012,q3,35794.74,1.3,5,8.5,8.27,0.069282032
2012,q4,40402.79,2.3,5.6,8.5,8.63,0.207846097
2013,q1,42761.53,0.8,5.9,8.5,9.18,0.317542648
2013,q2,46077.87,3.2,5.6,8.5,10.05,0.502294734
2013,q3,51008.73,0.7,6.4,8.5,9.98,0.040414519
2013,q4,54481.85,3.8,5.3,8.5,10.38,0.230940108
2014,q1,54571.34,-1.6,5.9,9,10.6,0.127017059
2014,q2,60511.38,0.7,6.8,9,10.61,0.005773503
2014,q3,58031.73,2.2,5.9,9.25,11.24,0.36373067
2014,q4,61988.54,4.1,5.3,9.25,11.57,0.190525589
2015,q1,65630.61,1.9,4,9.25,12.2,0.36373067
2015,q2,66752.83,-1.8,4.6,9.25,12.24,0.023094011
